Tweet;Date;Location;Source;
CasteloCraft Arthurd04006319 Corona virus ;2022-06-05T02:35:19.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
swhaiz nasceu causou morte dinossauros primeira segunda guerra mundial crise fome guerra Ucrania russa n4zism0 corona virus gripe suina hpv cancer dengue ;2022-06-05T02:07:44.000Z; black widow sisters ;Twitter for Android;
GomesSolitario Comprar corona virus ;2022-06-05T01:20:11.000Z;LOCALIZACAO NAO INFORMADA;Twitter for iPhone;
pais sobrevive Dilma PT pandemia corona virus guerra Ucrania  Brasileiro povo foda politicos judiciario menos safados pouco educacao imbativeis ;2022-06-04T23:49:51.000Z;Ribeirao Preto  Brasil ;Twitter Web App;
casos corona virus ta aumentando novo  ;2022-06-04T22:47:03.000Z;LOCALIZACAO NAO INFORMADA;Twitter Web App;
carioca hj chegou museu dizendo q Europa corona virus perguntou pq pandemia ainda n acabado aqui ;2022-06-04T22:24:35.000Z;Luis Brasil ;Twitter for Android;
lipaxlovato dissemina corona virus ;2022-06-04T21:45:05.000Z;Jacarepagua Rio Janeiro ;Twitter for iPhone;
porque liberaram geral mascara  variantes novas corona virus sindrome respiratoria  ;2022-06-04T21:20:49.000Z;SabaraMinas Gerais ;Twitter Web App;
Sigo invicto pegar Corona virus ;2022-06-04T21:07:39.000Z;Curitiba  PR ;Twitter for Android;
paulusminus matheusvm00 Neide76918974 LeSarturiP Quer fazer teste mascara panos Quer fazer pessoalmente quer video chineses lidando Corona virus ;2022-06-04T20:47:18.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
Ressaca corona virus ;2022-06-04T20:44:31.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
Corona Virus Covid19 Neurociencia sistema imune conscientizacao ;2022-06-04T20:34:56.000Z;Paulo ;Twitter Web App;
amiga ta louquinha ficar comigo Deu print foto perfil conversivel Sabe cor caminho condominio Peguei todo mundo peguei Corona Virus ;2022-06-04T19:15:25.000Z;eterno Paul walker kevin ;Twitter for Android;
corona virus praga inferno ;2022-06-04T18:56:54.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
Corona virus bolsonaro odeio ;2022-06-04T18:31:29.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
cara falando corona virus existe pessoas morrem causa MEDO to passando mal ;2022-06-04T18:29:01.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
corona virus muita dor corpo  ;2022-06-04T18:01:14.000Z;Muriae Brasil ;Twitter for Android;
Segunda Feira 06 volta obrigatorio uso mascaras Pernambuco pqp vai foder corona virus odio ;2022-06-04T16:30:14.000Z;casa Krl pertubacao ;Twitter for Android;
sucumba corona virus  ;2022-06-04T16:24:53.000Z;BH ;Twitter for Android;
vivicovid cadelagem uniu corona virus separa ;2022-06-04T16:22:50.000Z;Brazil ;Twitter for Android;
Entendi incluir pobre conhecimento deve chamar corona virus virus chines ;2022-06-04T15:33:23.000Z;Paulo ;Twitter Web App;
causa dessss pessoas q corona virus disseminou tao rapido  ;2022-06-04T15:17:05.000Z;LOCALIZACAO NAO INFORMADA;Twitter for iPhone;
corona virus chegou penso nisso frequentemente ;2022-06-04T13:39:21.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
ir escola melhor ir festa junina tia la corona virus primo ta indo la vai escola ;2022-06-04T13:34:23.000Z;votorantim ;Twitter Web App;
Liviae10 jairbolsonaro ainda bem natureza criou corona virus Luladrao ;2022-06-04T12:01:07.000Z;Rio Janeiro ;Twitter for Android;
Brasil Crescendo 10 apos corona virus guerra Mito matheusbraga679 TikTok ;2022-06-04T06:37:06.000Z;Brasil SPaulo ;Twitter for Android;
to exatamente assim obrigado corona virus ;2022-06-04T06:29:23.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
euozant Irmao beijei 15 pessoas vida inteira mina coletou 72 babas diferentes noite corona virus brincadeira sistema imunologico desse ;2022-06-04T05:22:24.000Z;LOCALIZACAO NAO INFORMADA;Twitter for iPhone;
